close_time,trading_pair,open,close,high,low,volume,trades_amount
1674536400,ETHUSDT,1639.02,1636.47,1640.78,1635.39,9205.7705,15072959
1674532800,ETHUSDT,1635.19,1639.01,1639.42,1633.25,9169.533,15003812
1674529200,ETHUSDT,1637.89,1635.18,1641.46,1635.18,12921.857,21169002
1674525600,ETHUSDT,1631.87,1637.89,1638.62,1627.45,13875.512,22658230
1674522000,ETHUSDT,1626.28,1631.87,1633.97,1622.8,12071.391,19660163
1674518400,ETHUSDT,1627.47,1626.29,1630.48,1624.72,7251.5713,11803952
1674514800,ETHUSDT,1631.84,1627.47,1635.75,1622.13,8959.692,14619751
1674511200,ETHUSDT,1634.8,1631.84,1635.5,1629.53,9298.675,15180018
1674507600,ETHUSDT,1619.89,1634.8,1635.26,1618.65,13128.474,21335100
1674504000,ETHUSDT,1628.85,1619.88,1630.57,1610.04,27357.844,44325454
1674500400,ETHUSDT,1629.03,1628.85,1640.49,1626.06,26815.545,43788663
1674496800,ETHUSDT,1619.83,1629.02,1629.28,1615.29,19807.986,32091067
1674493200,ETHUSDT,1620.84,1619.82,1625.76,1612.38,22345.242,36178824
1674489600,ETHUSDT,1598.92,1620.85,1626.35,1594.61,46998.023,75865635
1674486000,ETHUSDT,1622.57,1599.13,1648.09,1585.29,59869.07,97020501
1674482400,ETHUSDT,1635.25,1622.57,1636.68,1613.48,27050.557,43967992
1674478800,ETHUSDT,1636.66,1635.24,1639.01,1630.0,12737.565,20824262
1674475200,ETHUSDT,1637.09,1636.67,1638.07,1633.42,10901.59,17835062
1674471600,ETHUSDT,1634.76,1637.08,1640.0,1633.51,13436.878,21996638
1674468000,ETHUSDT,1631.4,1634.75,1635.0,1630.3,7889.432,12880581
1674464400,ETHUSDT,1633.31,1631.41,1639.26,1630.72,9554.004,15614642
1674460800,ETHUSDT,1637.18,1633.3,1638.0,1627.88,12458.907,20357381
1674457200,ETHUSDT,1632.19,1637.18,1637.75,1631.16,7149.2173,11690777
1674453600,ETHUSDT,1636.0,1632.2,1636.73,1631.38,6986.074,11415983
1674450000,ETHUSDT,1630.41,1635.99,1636.06,1628.41,7977.1846,13024570
1674446400,ETHUSDT,1640.89,1630.41,1642.58,1628.33,11841.346,19354267
1674442800,ETHUSDT,1635.65,1640.89,1640.89,1635.64,6955.8145,11397414
1674439200,ETHUSDT,1635.73,1635.64,1642.19,1635.51,13275.961,21753860
1674435600,ETHUSDT,1627.43,1635.74,1639.09,1625.68,17220.465,28119884
1674432000,ETHUSDT,1628.72,1627.44,1632.93,1623.86,12912.815,21030246
1674428400,ETHUSDT,1627.58,1628.71,1629.72,1620.79,9453.541,15362652
1674424800,ETHUSDT,1614.08,1627.58,1630.12,1607.35,22608.232,36575996
1674421200,ETHUSDT,1635.11,1614.08,1636.34,1607.06,54704.36,88608000
1674417600,ETHUSDT,1646.55,1635.1,1648.14,1632.41,16117.3125,26443841
1674414000,ETHUSDT,1656.64,1646.56,1659.7,1646.02,16107.62,26619776
1674410400,ETHUSDT,1636.71,1656.63,1663.89,1635.36,32756.03,54166125
1674406800,ETHUSDT,1635.5,1636.71,1640.81,1629.61,13393.696,21908572
1674403200,ETHUSDT,1642.5,1635.51,1650.51,1617.54,48063.492,78660083
1674399600,ETHUSDT,1632.01,1642.51,1645.61,1630.77,21972.688,36008446
1674396000,ETHUSDT,1633.61,1632.01,1638.84,1629.88,12468.072,20362789
